,real,pred,answer
210,nevus,nevus,1
211,melanoma,melanoma,1
212,melanoma,pigmented benign keratosis,0
213,nevus,nevus,1
214,melanoma,nevus,0
215,basal cell carcinoma,basal cell carcinoma,1
216,pigmented benign keratosis,nevus,0
217,pigmented benign keratosis,nevus,0
218,nevus,nevus,1
219,nevus,nevus,1
220,nevus,nevus,1
221,nevus,nevus,1
222,nevus,nevus,1
223,nevus,nevus,1
224,pigmented benign keratosis,nevus,0
225,nevus,nevus,1
226,nevus,nevus,1
227,nevus,pigmented benign keratosis,0
228,melanoma,melanoma,1
229,pigmented benign keratosis,nevus,0
230,basal cell carcinoma,nevus,0
231,melanoma,nevus,0
232,nevus,nevus,1
233,nevus,nevus,1
234,pigmented benign keratosis,melanoma,0
235,nevus,nevus,1
236,nevus,nevus,1
237,nevus,nevus,1
238,squamous cell carcinoma,pigmented benign keratosis,0
239,nevus,melanoma,0
240,nevus,nevus,1
241,nevus,nevus,1
242,pigmented benign keratosis,pigmented benign keratosis,1
243,nevus,nevus,1
244,nevus,nevus,1
245,nevus,nevus,1
246,nevus,nevus,1
247,pigmented benign keratosis,pigmented benign keratosis,1
248,nevus,nevus,1
249,nevus,nevus,1
250,pigmented benign keratosis,nevus,0
251,melanoma,nevus,0
252,nevus,nevus,1
253,nevus,nevus,1
254,pigmented benign keratosis,melanoma,0
255,nevus,nevus,1
256,nevus,nevus,1
257,melanoma,nevus,0
258,nevus,nevus,1
259,nevus,nevus,1
260,nevus,basal cell carcinoma,0
261,nevus,nevus,1
262,nevus,nevus,1
263,nevus,nevus,1
264,melanoma,pigmented benign keratosis,0
265,nevus,nevus,1
266,nevus,nevus,1
267,melanoma,nevus,0
268,nevus,nevus,1
269,nevus,nevus,1
270,nevus,nevus,1
271,vascular lesion,nevus,0
272,nevus,nevus,1
273,pigmented benign keratosis,nevus,0
274,pigmented benign keratosis,nevus,0
275,nevus,nevus,1
276,pigmented benign keratosis,pigmented benign keratosis,1
277,basal cell carcinoma,basal cell carcinoma,1
278,nevus,nevus,1
279,pigmented benign keratosis,basal cell carcinoma,0
280,nevus,nevus,1
281,nevus,pigmented benign keratosis,0
282,nevus,nevus,1
283,nevus,nevus,1
284,squamous cell carcinoma,basal cell carcinoma,0
285,nevus,nevus,1
286,nevus,nevus,1
287,nevus,nevus,1
288,nevus,nevus,1
289,nevus,nevus,1
290,nevus,nevus,1
291,nevus,nevus,1
292,nevus,nevus,1
293,basal cell carcinoma,nevus,0
294,nevus,melanoma,0
295,nevus,nevus,1
296,nevus,melanoma,0
297,pigmented benign keratosis,pigmented benign keratosis,1
298,pigmented benign keratosis,nevus,0
299,nevus,melanoma,0
300,nevus,melanoma,0
301,nevus,nevus,1
302,nevus,nevus,1
303,pigmented benign keratosis,nevus,0
304,pigmented benign keratosis,nevus,0
305,nevus,nevus,1
306,nevus,nevus,1
307,dermatofibroma,pigmented benign keratosis,0
308,pigmented benign keratosis,pigmented benign keratosis,1
309,melanoma,nevus,0
310,basal cell carcinoma,basal cell carcinoma,1
311,nevus,nevus,1
312,nevus,nevus,1
313,nevus,nevus,1
314,nevus,nevus,1
315,nevus,nevus,1
316,nevus,nevus,1
317,melanoma,nevus,0
318,nevus,nevus,1
319,pigmented benign keratosis,nevus,0
320,melanoma,melanoma,1
321,nevus,nevus,1
322,nevus,nevus,1
323,pigmented benign keratosis,pigmented benign keratosis,1
324,nevus,nevus,1
325,nevus,nevus,1
326,pigmented benign keratosis,pigmented benign keratosis,1
327,nevus,nevus,1
328,squamous cell carcinoma,melanoma,0
329,melanoma,nevus,0
330,nevus,nevus,1
331,nevus,pigmented benign keratosis,0
332,nevus,nevus,1
333,nevus,nevus,1
334,nevus,nevus,1
335,basal cell carcinoma,nevus,0
336,nevus,nevus,1
337,nevus,nevus,1
338,pigmented benign keratosis,nevus,0
339,pigmented benign keratosis,nevus,0
340,nevus,nevus,1
341,basal cell carcinoma,pigmented benign keratosis,0
342,nevus,nevus,1
343,basal cell carcinoma,nevus,0
344,nevus,nevus,1
345,nevus,nevus,1
346,nevus,nevus,1
347,pigmented benign keratosis,melanoma,0
348,pigmented benign keratosis,nevus,0
349,nevus,nevus,1
350,nevus,nevus,1
351,pigmented benign keratosis,pigmented benign keratosis,1
352,melanoma,melanoma,1
353,nevus,nevus,1
354,melanoma,nevus,0
355,nevus,nevus,1
356,nevus,nevus,1
357,nevus,nevus,1
358,nevus,nevus,1
359,nevus,nevus,1
360,nevus,nevus,1
361,nevus,nevus,1
362,nevus,nevus,1
363,nevus,nevus,1
364,nevus,nevus,1
365,nevus,nevus,1
366,basal cell carcinoma,nevus,0
367,nevus,nevus,1
368,nevus,nevus,1
369,melanoma,nevus,0
370,nevus,nevus,1
371,melanoma,nevus,0
372,nevus,nevus,1
373,nevus,nevus,1
374,nevus,nevus,1
375,nevus,nevus,1
376,nevus,nevus,1
377,melanoma,pigmented benign keratosis,0
378,pigmented benign keratosis,nevus,0
379,squamous cell carcinoma,nevus,0
380,dermatofibroma,nevus,0
381,melanoma,nevus,0
382,basal cell carcinoma,nevus,0
383,nevus,nevus,1
384,pigmented benign keratosis,pigmented benign keratosis,1
385,pigmented benign keratosis,nevus,0
386,nevus,nevus,1
387,pigmented benign keratosis,pigmented benign keratosis,1
388,pigmented benign keratosis,melanoma,0
389,nevus,nevus,1
390,basal cell carcinoma,nevus,0
391,melanoma,nevus,0
392,nevus,basal cell carcinoma,0
393,nevus,nevus,1
394,nevus,nevus,1
395,nevus,nevus,1
396,nevus,nevus,1
397,nevus,nevus,1
398,nevus,nevus,1
399,nevus,nevus,1
400,vascular lesion,nevus,0
401,nevus,nevus,1
402,basal cell carcinoma,nevus,0
403,melanoma,melanoma,1
404,nevus,nevus,1
405,melanoma,nevus,0
406,melanoma,nevus,0
407,nevus,nevus,1
408,nevus,pigmented benign keratosis,0
409,pigmented benign keratosis,nevus,0
410,nevus,nevus,1
411,nevus,pigmented benign keratosis,0
412,pigmented benign keratosis,pigmented benign keratosis,1
413,pigmented benign keratosis,nevus,0
414,nevus,nevus,1
415,melanoma,nevus,0
416,nevus,melanoma,0
417,basal cell carcinoma,nevus,0
418,basal cell carcinoma,pigmented benign keratosis,0
419,nevus,nevus,1
420,melanoma,nevus,0
421,nevus,nevus,1
422,nevus,nevus,1
423,nevus,nevus,1
424,nevus,nevus,1
425,nevus,nevus,1
426,basal cell carcinoma,basal cell carcinoma,1
427,nevus,nevus,1
428,nevus,nevus,1
429,nevus,nevus,1
430,dermatofibroma,nevus,0
431,pigmented benign keratosis,nevus,0
432,nevus,nevus,1
433,nevus,nevus,1
434,nevus,nevus,1
435,nevus,nevus,1
436,actinic keratosis,basal cell carcinoma,0
437,nevus,nevus,1
438,nevus,nevus,1
439,nevus,nevus,1
440,pigmented benign keratosis,nevus,0
441,melanoma,nevus,0
442,nevus,nevus,1
443,nevus,nevus,1
444,nevus,nevus,1
445,nevus,nevus,1
446,nevus,nevus,1
447,nevus,nevus,1
448,pigmented benign keratosis,nevus,0
449,nevus,nevus,1
450,nevus,nevus,1
451,nevus,nevus,1
452,melanoma,melanoma,1
453,pigmented benign keratosis,nevus,0
454,melanoma,nevus,0
455,nevus,nevus,1
456,vascular lesion,nevus,0
457,nevus,nevus,1
458,nevus,nevus,1
459,nevus,nevus,1
460,nevus,nevus,1
461,nevus,nevus,1
462,basal cell carcinoma,basal cell carcinoma,1
463,nevus,nevus,1
464,nevus,nevus,1
465,nevus,nevus,1
466,nevus,nevus,1
467,nevus,nevus,1
468,nevus,nevus,1
469,nevus,nevus,1
470,nevus,nevus,1
471,pigmented benign keratosis,pigmented benign keratosis,1
472,nevus,nevus,1
473,melanoma,nevus,0
474,nevus,nevus,1
475,nevus,pigmented benign keratosis,0
476,melanoma,nevus,0
477,nevus,nevus,1
478,pigmented benign keratosis,pigmented benign keratosis,1
479,actinic keratosis,pigmented benign keratosis,0
480,melanoma,nevus,0
481,nevus,nevus,1
482,actinic keratosis,basal cell carcinoma,0
483,nevus,nevus,1
484,nevus,nevus,1
485,nevus,nevus,1
486,nevus,nevus,1
487,nevus,nevus,1
488,nevus,nevus,1
489,nevus,nevus,1
490,melanoma,nevus,0
491,pigmented benign keratosis,nevus,0
492,dermatofibroma,nevus,0
493,nevus,nevus,1
494,nevus,nevus,1
495,nevus,nevus,1
496,nevus,nevus,1
497,nevus,nevus,1
498,melanoma,melanoma,1
499,nevus,nevus,1
500,basal cell carcinoma,nevus,0
501,melanoma,nevus,0
502,nevus,nevus,1
503,vascular lesion,nevus,0
504,melanoma,nevus,0
505,nevus,nevus,1
506,basal cell carcinoma,nevus,0
507,nevus,nevus,1
508,nevus,nevus,1
509,nevus,nevus,1
510,nevus,nevus,1
511,nevus,nevus,1
512,nevus,nevus,1
513,nevus,nevus,1
514,nevus,melanoma,0
515,nevus,nevus,1
516,pigmented benign keratosis,nevus,0
517,melanoma,nevus,0
518,nevus,nevus,1
519,nevus,nevus,1
520,nevus,nevus,1
521,nevus,nevus,1
522,nevus,nevus,1
523,nevus,pigmented benign keratosis,0
524,nevus,nevus,1
525,nevus,nevus,1
526,nevus,nevus,1
527,melanoma,nevus,0
528,squamous cell carcinoma,nevus,0
529,nevus,nevus,1
530,basal cell carcinoma,pigmented benign keratosis,0
531,nevus,nevus,1
532,nevus,nevus,1
533,basal cell carcinoma,nevus,0
534,pigmented benign keratosis,pigmented benign keratosis,1
535,nevus,nevus,1
536,nevus,nevus,1
537,nevus,nevus,1
538,nevus,nevus,1
539,dermatofibroma,nevus,0
540,nevus,nevus,1
541,melanoma,melanoma,1
542,basal cell carcinoma,pigmented benign keratosis,0
543,nevus,nevus,1
544,nevus,nevus,1
545,melanoma,nevus,0
546,nevus,nevus,1
547,nevus,nevus,1
548,dermatofibroma,nevus,0
549,nevus,nevus,1
550,nevus,pigmented benign keratosis,0
551,nevus,pigmented benign keratosis,0
552,nevus,melanoma,0
553,melanoma,nevus,0
554,nevus,nevus,1
555,pigmented benign keratosis,nevus,0
556,nevus,nevus,1
557,squamous cell carcinoma,nevus,0
558,nevus,nevus,1
559,pigmented benign keratosis,pigmented benign keratosis,1
560,melanoma,nevus,0
561,nevus,nevus,1
562,nevus,melanoma,0
563,nevus,melanoma,0
564,nevus,nevus,1
565,pigmented benign keratosis,nevus,0
566,nevus,nevus,1
567,squamous cell carcinoma,nevus,0
568,vascular lesion,nevus,0
569,nevus,nevus,1
570,pigmented benign keratosis,pigmented benign keratosis,1
571,nevus,nevus,1
572,nevus,nevus,1
573,nevus,nevus,1
574,nevus,nevus,1
575,nevus,nevus,1
576,nevus,nevus,1
577,nevus,nevus,1
578,nevus,nevus,1
579,nevus,nevus,1
580,nevus,melanoma,0
581,melanoma,nevus,0
582,nevus,nevus,1
583,nevus,nevus,1
584,actinic keratosis,nevus,0
585,melanoma,pigmented benign keratosis,0
586,nevus,pigmented benign keratosis,0
587,nevus,nevus,1
588,nevus,nevus,1
589,nevus,nevus,1
590,nevus,nevus,1
591,nevus,nevus,1
592,nevus,nevus,1
593,pigmented benign keratosis,nevus,0
594,pigmented benign keratosis,nevus,0
595,nevus,nevus,1
596,nevus,nevus,1
597,basal cell carcinoma,nevus,0
598,nevus,nevus,1
599,pigmented benign keratosis,pigmented benign keratosis,1
600,nevus,nevus,1
601,melanoma,nevus,0
602,nevus,nevus,1
603,nevus,nevus,1
604,nevus,nevus,1
605,nevus,nevus,1
606,dermatofibroma,pigmented benign keratosis,0
607,nevus,nevus,1
608,nevus,nevus,1
609,nevus,nevus,1
610,nevus,melanoma,0
611,nevus,nevus,1
612,pigmented benign keratosis,nevus,0
613,basal cell carcinoma,nevus,0
614,pigmented benign keratosis,nevus,0
615,nevus,nevus,1
616,pigmented benign keratosis,nevus,0
617,nevus,nevus,1
618,nevus,nevus,1
619,squamous cell carcinoma,pigmented benign keratosis,0
620,nevus,nevus,1
621,nevus,nevus,1
622,nevus,nevus,1
623,nevus,nevus,1
624,nevus,nevus,1
625,nevus,nevus,1
626,pigmented benign keratosis,nevus,0
627,pigmented benign keratosis,pigmented benign keratosis,1
628,actinic keratosis,pigmented benign keratosis,0
629,nevus,nevus,1
630,nevus,nevus,1
631,nevus,nevus,1
632,nevus,nevus,1
633,nevus,nevus,1
634,nevus,nevus,1
635,basal cell carcinoma,basal cell carcinoma,1
636,nevus,nevus,1
637,nevus,nevus,1
638,nevus,nevus,1
639,nevus,nevus,1
640,nevus,nevus,1
641,nevus,nevus,1
642,nevus,nevus,1
643,nevus,nevus,1
644,nevus,nevus,1
645,melanoma,nevus,0
646,nevus,nevus,1
647,nevus,nevus,1
648,pigmented benign keratosis,nevus,0
649,dermatofibroma,pigmented benign keratosis,0
650,nevus,nevus,1
651,nevus,nevus,1
652,nevus,nevus,1
653,melanoma,nevus,0
654,melanoma,melanoma,1
655,melanoma,nevus,0
656,squamous cell carcinoma,nevus,0
657,nevus,nevus,1
658,nevus,nevus,1
659,nevus,pigmented benign keratosis,0
660,nevus,nevus,1
661,nevus,nevus,1
662,nevus,nevus,1
663,melanoma,nevus,0
664,nevus,nevus,1
665,melanoma,nevus,0
666,basal cell carcinoma,basal cell carcinoma,1
667,nevus,melanoma,0
668,basal cell carcinoma,pigmented benign keratosis,0
669,actinic keratosis,pigmented benign keratosis,0
670,nevus,nevus,1
671,nevus,basal cell carcinoma,0
672,nevus,nevus,1
673,nevus,nevus,1
674,nevus,nevus,1
675,nevus,nevus,1
676,nevus,nevus,1
677,squamous cell carcinoma,nevus,0
678,nevus,nevus,1
679,basal cell carcinoma,nevus,0
680,nevus,nevus,1
681,nevus,nevus,1
682,nevus,nevus,1
683,nevus,nevus,1
684,basal cell carcinoma,nevus,0
685,nevus,nevus,1
686,nevus,nevus,1
687,nevus,nevus,1
688,nevus,nevus,1
689,nevus,pigmented benign keratosis,0
690,nevus,nevus,1
691,nevus,nevus,1
692,nevus,nevus,1
693,nevus,nevus,1
694,pigmented benign keratosis,pigmented benign keratosis,1
695,nevus,nevus,1
696,melanoma,nevus,0
697,basal cell carcinoma,basal cell carcinoma,1
698,nevus,nevus,1
699,nevus,nevus,1
700,nevus,nevus,1
701,nevus,nevus,1
702,melanoma,nevus,0
703,nevus,nevus,1
704,melanoma,pigmented benign keratosis,0
705,nevus,nevus,1
706,melanoma,nevus,0
707,squamous cell carcinoma,nevus,0
708,nevus,nevus,1
709,actinic keratosis,basal cell carcinoma,0
710,pigmented benign keratosis,pigmented benign keratosis,1
711,vascular lesion,nevus,0
712,nevus,nevus,1
713,nevus,nevus,1
714,nevus,nevus,1
715,basal cell carcinoma,basal cell carcinoma,1
716,nevus,nevus,1
717,actinic keratosis,nevus,0
718,pigmented benign keratosis,nevus,0
719,nevus,nevus,1
720,nevus,nevus,1
721,pigmented benign keratosis,pigmented benign keratosis,1
722,nevus,nevus,1
723,nevus,nevus,1
724,nevus,melanoma,0
725,nevus,nevus,1
726,vascular lesion,nevus,0
727,pigmented benign keratosis,pigmented benign keratosis,1
728,nevus,nevus,1
729,melanoma,nevus,0
730,melanoma,nevus,0
731,nevus,nevus,1
732,nevus,nevus,1
733,basal cell carcinoma,basal cell carcinoma,1
734,nevus,pigmented benign keratosis,0
735,nevus,nevus,1
736,nevus,nevus,1
737,nevus,nevus,1
738,nevus,nevus,1
739,nevus,nevus,1
740,nevus,nevus,1
741,nevus,nevus,1
742,basal cell carcinoma,pigmented benign keratosis,0
743,melanoma,nevus,0
744,nevus,nevus,1
745,nevus,nevus,1
746,melanoma,melanoma,1
747,nevus,nevus,1
748,nevus,nevus,1
749,nevus,nevus,1
750,nevus,nevus,1
751,pigmented benign keratosis,nevus,0
752,nevus,nevus,1
753,nevus,nevus,1
754,nevus,nevus,1
755,pigmented benign keratosis,nevus,0
756,nevus,nevus,1
757,nevus,nevus,1
758,nevus,nevus,1
759,dermatofibroma,basal cell carcinoma,0
760,nevus,nevus,1
761,melanoma,nevus,0
762,nevus,nevus,1
763,squamous cell carcinoma,nevus,0
764,nevus,nevus,1
765,melanoma,nevus,0
766,nevus,nevus,1
767,nevus,nevus,1
768,nevus,nevus,1
769,nevus,nevus,1
770,nevus,nevus,1
771,basal cell carcinoma,pigmented benign keratosis,0
772,nevus,nevus,1
773,nevus,nevus,1
774,pigmented benign keratosis,nevus,0
775,nevus,nevus,1
776,basal cell carcinoma,basal cell carcinoma,1
777,melanoma,nevus,0
778,nevus,nevus,1
779,nevus,nevus,1
780,nevus,nevus,1
781,nevus,nevus,1
782,nevus,melanoma,0
783,nevus,pigmented benign keratosis,0
784,basal cell carcinoma,basal cell carcinoma,1
785,melanoma,melanoma,1
786,nevus,nevus,1
787,nevus,nevus,1
788,pigmented benign keratosis,pigmented benign keratosis,1
789,nevus,nevus,1
790,nevus,nevus,1
791,actinic keratosis,pigmented benign keratosis,0
792,nevus,nevus,1
793,nevus,nevus,1
794,melanoma,nevus,0
795,nevus,nevus,1
796,pigmented benign keratosis,nevus,0
797,nevus,nevus,1
798,nevus,nevus,1
799,melanoma,pigmented benign keratosis,0
800,basal cell carcinoma,pigmented benign keratosis,0
801,nevus,nevus,1
802,pigmented benign keratosis,pigmented benign keratosis,1
803,pigmented benign keratosis,nevus,0
804,nevus,nevus,1
805,nevus,nevus,1
806,nevus,nevus,1
807,nevus,melanoma,0
808,nevus,nevus,1
809,melanoma,nevus,0
810,nevus,nevus,1
811,nevus,nevus,1
812,melanoma,pigmented benign keratosis,0
813,nevus,nevus,1
814,nevus,nevus,1
815,pigmented benign keratosis,nevus,0
816,nevus,nevus,1
817,nevus,nevus,1
818,nevus,nevus,1
819,nevus,nevus,1
820,nevus,nevus,1
821,pigmented benign keratosis,nevus,0
822,vascular lesion,nevus,0
823,nevus,nevus,1
824,nevus,melanoma,0
825,nevus,nevus,1
826,nevus,nevus,1
827,squamous cell carcinoma,pigmented benign keratosis,0
828,nevus,nevus,1
829,nevus,nevus,1
830,nevus,nevus,1
831,melanoma,nevus,0
832,nevus,pigmented benign keratosis,0
833,pigmented benign keratosis,pigmented benign keratosis,1
834,nevus,nevus,1
835,nevus,nevus,1
836,melanoma,pigmented benign keratosis,0
837,melanoma,nevus,0
838,nevus,nevus,1
839,nevus,nevus,1
840,nevus,nevus,1
841,actinic keratosis,basal cell carcinoma,0
842,nevus,nevus,1
843,basal cell carcinoma,basal cell carcinoma,1
844,nevus,nevus,1
845,melanoma,nevus,0
846,nevus,nevus,1
847,nevus,nevus,1
848,melanoma,nevus,0
849,nevus,nevus,1
850,squamous cell carcinoma,basal cell carcinoma,0
851,nevus,nevus,1
852,nevus,nevus,1
853,nevus,nevus,1
854,nevus,nevus,1
855,nevus,nevus,1
856,melanoma,nevus,0
857,melanoma,melanoma,1
858,melanoma,nevus,0
859,nevus,nevus,1
860,squamous cell carcinoma,pigmented benign keratosis,0
861,nevus,nevus,1
862,melanoma,nevus,0
863,nevus,nevus,1
864,nevus,nevus,1
865,basal cell carcinoma,basal cell carcinoma,1
866,nevus,nevus,1
867,nevus,nevus,1
868,nevus,nevus,1
869,melanoma,melanoma,1
870,nevus,nevus,1
871,nevus,nevus,1
872,pigmented benign keratosis,basal cell carcinoma,0
873,dermatofibroma,basal cell carcinoma,0
874,nevus,nevus,1
875,nevus,nevus,1
876,nevus,nevus,1
877,nevus,nevus,1
878,nevus,nevus,1
879,nevus,nevus,1
880,nevus,melanoma,0
881,nevus,nevus,1
882,melanoma,nevus,0
883,nevus,nevus,1
884,basal cell carcinoma,nevus,0
885,basal cell carcinoma,nevus,0
886,nevus,nevus,1
887,nevus,pigmented benign keratosis,0
888,nevus,nevus,1
889,basal cell carcinoma,basal cell carcinoma,1
890,nevus,nevus,1
891,nevus,nevus,1
892,basal cell carcinoma,basal cell carcinoma,1
893,nevus,nevus,1
894,nevus,nevus,1
895,pigmented benign keratosis,nevus,0
896,nevus,nevus,1
897,melanoma,basal cell carcinoma,0
898,nevus,nevus,1
899,nevus,nevus,1
900,squamous cell carcinoma,nevus,0
901,melanoma,pigmented benign keratosis,0
902,melanoma,nevus,0
903,melanoma,nevus,0
904,squamous cell carcinoma,nevus,0
905,dermatofibroma,nevus,0
906,nevus,nevus,1
907,nevus,nevus,1
908,nevus,nevus,1
909,melanoma,pigmented benign keratosis,0
910,nevus,nevus,1
911,nevus,nevus,1
912,nevus,nevus,1
913,dermatofibroma,nevus,0
914,melanoma,nevus,0
915,nevus,nevus,1
916,nevus,nevus,1
917,pigmented benign keratosis,pigmented benign keratosis,1
918,nevus,nevus,1
919,pigmented benign keratosis,pigmented benign keratosis,1
920,pigmented benign keratosis,pigmented benign keratosis,1
921,melanoma,nevus,0
922,basal cell carcinoma,nevus,0
923,basal cell carcinoma,nevus,0
924,melanoma,nevus,0
925,pigmented benign keratosis,nevus,0
926,nevus,nevus,1
927,pigmented benign keratosis,pigmented benign keratosis,1
928,nevus,nevus,1
929,nevus,nevus,1
930,nevus,pigmented benign keratosis,0
931,squamous cell carcinoma,nevus,0
932,basal cell carcinoma,basal cell carcinoma,1
933,nevus,nevus,1
934,pigmented benign keratosis,nevus,0
935,nevus,nevus,1
936,nevus,nevus,1
937,nevus,nevus,1
938,melanoma,nevus,0
939,vascular lesion,nevus,0
940,nevus,nevus,1
941,nevus,nevus,1
942,melanoma,pigmented benign keratosis,0
943,nevus,nevus,1
944,basal cell carcinoma,basal cell carcinoma,1
945,nevus,nevus,1
946,pigmented benign keratosis,pigmented benign keratosis,1
947,nevus,nevus,1
948,nevus,nevus,1
949,nevus,nevus,1
950,nevus,nevus,1
951,nevus,nevus,1
952,nevus,nevus,1
953,nevus,nevus,1
954,squamous cell carcinoma,nevus,0
955,pigmented benign keratosis,pigmented benign keratosis,1
956,nevus,nevus,1
957,nevus,nevus,1
958,melanoma,pigmented benign keratosis,0
959,nevus,pigmented benign keratosis,0
960,nevus,nevus,1
961,pigmented benign keratosis,nevus,0
962,pigmented benign keratosis,pigmented benign keratosis,1
963,nevus,nevus,1
